,rank,team,rank_change,year,previous_cup_wins,won_this_year,Part,W,D,L,Gd,Pts
0,97,Burkina Faso,0,1992,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
1,100,Burundi,0,1992,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
2,101,Togo,0,1992,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
3,102,Angola,0,1992,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
4,107,Mozambique,0,1992,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
5,92,Uganda,0,1992,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
6,79,Sierra Leone,0,1992,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
7,80,Tanzania,0,1992,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
8,81,Niger,0,1992,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
9,84,Liberia,0,1992,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
10,85,Ethiopia,0,1992,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
11,90,Congo,0,1992,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
12,111,Sudan,0,1992,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
13,135,Cape Verde,0,1992,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
14,137,Libya,0,1992,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
15,139,Botswana,0,1992,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
16,150,Gambia,0,1992,0,0,1.0,3.0,1.0,1.0,1.0,10.0
17,134,Mauritania,0,1992,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
18,76,Kenya,0,1992,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
19,117,Guinea-Bissau,0,1992,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
20,124,South Africa,0,1992,0,0,10.0,16.0,13.0,14.0,3.0,61.0
21,127,Benin,0,1992,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
22,112,Mauritius,0,1992,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
23,21,Egypt,0,1992,3,0,25.0,60.0,20.0,27.0,78.0,200.0
24,22,Cameroon,0,1992,2,0,20.0,45.0,30.0,16.0,55.0,165.0
25,27,Ivory Coast,0,1992,1,1,24.0,44.0,30.0,25.0,42.0,162.0
26,30,Algeria,0,1992,1,0,19.0,28.0,22.0,27.0,5.0,106.0
27,32,Zambia,0,1992,0,0,17.0,26.0,20.0,21.0,12.0,98.0
28,74,Madagascar,0,1992,0,0,1.0,2.0,2.0,1.0,0.0,8.0
29,13,Nigeria,0,1992,1,0,19.0,53.0,22.0,22.0,46.0,181.0
30,60,DR Congo,0,1992,1,0,19.0,20.0,24.0,29.0,-14.0,84.0
31,63,Guinea,0,1992,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
32,69,Mali,0,1992,0,0,12.0,19.0,19.0,16.0,0.0,76.0
33,38,Tunisia,0,1992,0,0,20.0,25.0,29.0,26.0,5.0,104.0
34,55,Gabon,0,1992,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
35,39,Ghana,0,1992,4,0,23.0,54.0,21.0,27.0,46.0,183.0
36,54,Zimbabwe,0,1992,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
37,41,Morocco,0,1992,1,0,18.0,27.0,24.0,19.0,19.0,105.0
38,51,Senegal,0,1992,0,0,16.0,27.0,17.0,23.0,22.0,98.0
39,53,Malawi,0,1992,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
40,34,Algeria,4,1993,1,0,19.0,28.0,22.0,27.0,5.0,106.0
41,33,Morocco,-8,1993,1,0,18.0,27.0,24.0,19.0,19.0,105.0
42,31,Tunisia,-7,1993,0,0,20.0,25.0,29.0,26.0,5.0,104.0
43,48,Ghana,9,1993,4,0,23.0,54.0,21.0,27.0,46.0,183.0
44,29,Ivory Coast,2,1993,1,0,24.0,44.0,30.0,25.0,42.0,162.0
45,58,Senegal,7,1993,0,0,16.0,27.0,17.0,23.0,22.0,98.0
46,50,Zimbabwe,-4,1993,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
